,ID,Woker avaibale,Medical condtion,Efficiency on the line,Difficulty of the geometry,production priority,due date in days,UTE allocation,worker preference,final allocation
0,100001.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3497657443616756,0.0
1,100002.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4190203832068551,0.0
2,100003.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.39871911162133455,0.0
3,100004.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7728986110519499,0.0
4,100005.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.22751893657182853,0.0
5,100006.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3979670650825313,0.0
6,100007.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9066267700911813,0.0
7,100008.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
8,100009.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6027063386074596,0.0
9,100010.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,100011.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5785479396619125,0.0
11,100012.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17668116636133757,0.0
12,100013.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5016759779549544,0.0
13,100014.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.10359694482117865,0.0
14,100015.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27495983522293,0.0
15,100016.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8137494544847667,0.0
16,100017.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.24652038913244223,0.0
17,100018.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2453128211392417,0.0
18,100019.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.08826032508475767,0.0
19,100020.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6736761121597212,0.0
20,100021.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2565057220896826,0.0
21,100022.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5611575323965314,0.0
22,100023.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1083381972587456,0.0
23,100024.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03628438684319024,0.0
24,100025.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7483061093236636,0.0
25,100026.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6356197342120177,0.0
26,100027.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,100028.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9184397406180467,0.0
28,100029.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.13526559763914292,0.0
29,100030.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.671502531386637,0.0
30,100031.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4234052215336874,0.0
31,100032.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3591586245540339,0.0
32,100033.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6050233621923132,0.0
33,100034.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
34,100035.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.847913124244825,0.0
35,100036.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
36,100037.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4995309645991275,0.0
37,100038.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25173996199687376,0.0
38,100039.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.4567686233885393,0.0
39,100040.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.009358420573186255,0.0
40,100041.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9236121231257242,0.0
41,100042.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7042721678332682,0.0
42,100043.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5359844152047549,0.0
43,100044.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5464759346433367,0.0
44,100045.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5488559253537949,0.0
45,100046.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6923032692518822,0.0
46,100047.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4766182348983392,0.0
47,100048.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4679330442903209,0.0
48,100049.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9289806092542555,0.0
49,100050.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.9524738279030281,0.0
50,100051.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8220405181593435,0.0
51,100052.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18938146625444574,0.0
52,100053.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7468466299553329,0.0
53,100054.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5887397275746249,0.0
54,100055.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.45044646960266155,0.0
55,100056.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3091620398417655,0.0
56,100057.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
57,100058.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
58,100059.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.332559943328283,0.0
59,100060.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8314747678832628,0.0
60,100061.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
61,100062.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5088886468258126,0.0
62,100063.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.44474333974012403,0.0
63,100064.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43710555548645036,0.0
64,100065.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.11422156232636071,0.0
65,100066.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8302177001297163,0.0
66,100067.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5601314091040209,0.0
67,100068.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
68,100069.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7880529773710576,0.0
69,100070.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14057930859249745,0.0
70,100071.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5135689583641166,0.0
71,100072.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7352425331233456,0.0
72,100073.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
73,100074.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2769252890530177,0.0
74,100075.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3848921907967089,0.0
75,100076.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6044345983269389,0.0
76,100077.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,100078.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1375913923948604,0.0
78,100079.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.12158969426349908,0.0
79,100080.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21421076000530925,0.0
80,100081.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9267062126668894,0.0
81,100082.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8437721988540747,0.0
82,100083.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0869037168767286,0.0
83,100084.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8424532281809183,0.0
84,100085.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6436446699578742,1.0
85,100086.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3360279508941595,0.0
86,100087.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2904212038389179,0.0
87,100088.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.015015171149527773,0.0
88,100089.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4705060811037943,0.0
89,100090.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.43991346341915516,0.0
90,100091.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.050291780943584,0.0
91,100092.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6795340930517686,0.0
92,100093.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8369557127033861,0.0
93,100094.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2926425372747652,0.0
94,100095.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7977602973499734,0.0
95,100096.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8541494245201752,0.0
96,100097.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
97,100098.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4254211100298366,0.0
98,100099.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.008010622297773051,0.0
99,100100.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2968290997511369,0.0
100,100101.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8336599855907615,0.0
101,100102.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8314839684209542,0.0
102,100103.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8639147129885465,0.0
103,100104.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9930739989858502,0.0
104,100105.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.550727408579817,0.0
105,100106.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.19039740732906296,0.0
106,100107.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8710463400315189,0.0
107,100108.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.23599546061981347,0.0
108,100109.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13155900187466285,0.0
109,100110.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6035560356046539,0.0
